MovAcc1;nPS1;Duration1;SM1;AM1;JM1;PS1
9,867897237;403,5;80,2305;0,137652883;0,101105911;15,3943231;238,4341623
11,21504661;411;116,8335;0,117836496;0,104596242;17,48515862;258,3837237
10,39463105;427,5;75,915;0,168820518;0,10778675;19,4087411;207,1985591
9,26524197;430;89,586;0,143361039;0,124312377;17,90572651;191,1352855
11,81466544;487,5;44,478;0,27346205;0,182828836;29,53420125;213,549588
18,22622923;405,5;57,897;0,219296462;0,17728688;23,95957245;235,7022604
34,40812938;376;44,1315;0,240915555;0,171106062;27,87285791;191,604251
17,01568797;462,5;57,6135;0,228240287;0,159505404;25,29651618;226,5024632
23,10311048;583,5;66,339;0,216750216;0,145875981;26,16576455;224,4783432
19,70415048;333;72,702;0,150683864;0,120007686;17,31752316;261,2868061
