MovAcc;nPS;Duration;SM;AM;JM;PS
17,88837084;426,45;76,6206;0,17895652;0,131900684;20,69979785;228,0354127
17,29373403;439,1;72,44055;0,194661998;0,129701315;21,59708251;216,2173287
13,23526328;443,95;74,28015;0,193515119;0,14104435;22,49184328;201,1080093
14,55935097;454,25;70,7805;0,197388592;0,140221712;22,84511999;208,2582191
13,58195036;456,85;66,3768;0,203448737;0,152568907;23,29595369;216,1269002
11,51561615;436,95;66,2823;0,194474968;0,141658536;22,6372212;207,7611812
10,93817375;452,2;66,75165;0,206416518;0,152054612;23,22745458;210,5168513
11,391194;426,65;68,0904;0,196470792;0,13597632;22,42045826;214,2224215
12,22122211;442;70,9254;0,188786071;0,140597077;21,49460597;213,549463
10,95683036;489,15;62,52435;0,217173886;0,159762892;24,5834617;217,1596025
9,161286972;480,85;62,33535;0,225818629;0,148436233;26,05439081;194,1105341
8,969275004;464,65;67,67775;0,207979866;0,147562142;23,69342627;204,811312
9,757225306;497,35;71,13015;0,203494039;0,149672715;23,3814026;202,3431514
9,38341351;446,45;63,74025;0,201548276;0,143077508;23,50935903;218,0535503
10,12213934;468,4;62,6535;0,213225102;0,148581004;24,52128269;205,5457987
8,023359585;462,45;61,55415;0,214147115;0,148744053;23,87521019;209,9028929
8,015295597;454,5;59,5476;0,208421581;0,145646491;23,21459305;208,4458063
9,052954065;474,65;60,98585;0,231181225;0,154940407;24,67687099;203,705957
